column0,column1,column2
111 Save Life Hospital,"Address: Sraikela Kharsawa, West Singhbhum, Jharkhand, 833214","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
7 Star Superspeciality Hospital,"Address: 20-1-61, Opposite L. I. C. Building, Main Road, East Godavari, Andhra Pradesh, 533001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A G Nursing Home,"Address: A.T.Road, Tarajan, Jorhat, Assam, 785001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A K Nursing Home,"Address: Rajendra Nagar, Patna, Bihar, 800016","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A N Beach Hospital,"Address: Door No. 15/9/13-24, R. K Beach Road Karimnagar Maharanipeta, Visakhapatnam, Andhra Pradesh, 530002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A N Magadh Medical College and Hospital,"Address: Anuragh Narayan Magadh Medical college and Hospital, Sher Ghati Road, Gaya, Gaya, Bihar, 823001","Contact: Emergency Number: , Ambulance Phone Number: 0631 2410339, Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A R Mittal Hospital,"Address: A R Mittal Hospital, Gohana Road, Panipat, Haryana, 132103","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A S Dahiya Hospital/ A.S Dhaiya Hospital,"Address: 2, Arya Nagar, Asandh Road, Panipat, Haryana, 132103","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A Super Speciality Orthopaedics Hospital,"Address: 5/B, Nivrutti Colony, Aryakanya Vidyalaya Road, Karelibaug, Vadodara, Gujarat, 390018","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A V M Orthopaedic Hospital,"Address: Umiya House Opp Arogaynagar Near Bus Stand Himmatnagar, Sabar kantha, Gujarat, 383001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A X I Hospital and Glaucoma Center,"Address: Arihant Super Market Near Lalbaug, Vadodara, Gujarat, 390004","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A Y Medical and Research Institute,"Address: Mathurapur, Samastipur, Bihar, 848101","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A.B. Eye Institute,"Address: Near Bahadurpur Railway Crossing, Rajendra Nagar, Patna, Bihar, 800016","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
A.S.Nursing Home,"Address: Jeetu Lal Lain Nala Par City, Patna, Bihar, 800008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aabhari Plastic Surgery Center,"Address: Malik Nursing Home, Balsamand Road, Malik Chowk, Hisar, Haryana, 125001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadarsh Children Hospital,"Address: Aadarsh Complex, Nr.Gayatri Temple, High-Way, Deesa.B'kantha, Banas kantha, Gujarat, 385535","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadarsh Hospital,"Address: Walkeshwari Nagari Phase-2, Near Sat Rasta Circle, Indira Marg, Jamnagar, Gujarat, 361008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadarsh Nursing Home,"Address: Purani Jail Road, Nawada, Bihar, 805110","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadhar Hospital,"Address: Court Road, Chaval Calti, Belagavi, Karnataka, 590001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadhar Hospital,"Address: Near Kashi Vishweshwar Temple, Jetalpur Char Rasta, Alkapuri, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadit Hospital,"Address: Farhin Party Plot, Old Custom Rd, Near Gold Coin Circle, Chala Vapi, Valsad, Gujarat, 396191","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadit Nursing Home,"Address: 2, Santoor Park, B/H Mother`S School, Makrand Desai Road, Gotri Road, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aaditya Child Care,"Address: 28/29, Sun Complex, Nr. Navapura Police Station, R.V.Desai Road, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadya Eye and Ent Hospital,"Address: Janta Chambers, Behind Anad Surgical Hospital, Saijpur Tower, Naroda Road, Ahmedabad, Gujarat, 380001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aadya Lens Implantation Center,"Address: 125, Sillicon Valley, Shivranjani Char Rasta, Sateliite Road, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aagam Hospital,"Address: Opposite Arya Samaj Shopping Centre, Ishwar Petlikar Marg, Anand, Gujarat, 388001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aagaman Hospital and Prasuti Gruh,"Address: B/H - Rokadiya Hanuman, Nr - Sanjay Hospital, Paliyad Road, Botad, Bhavnagar, Gujarat, 364710","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aagman Hospitac,"Address: The New Arrival Near Railway Crossing Amrutnagar, Kodinar, Junagadh, Gujarat, 362720","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aagman Maternity and Gynec Hospital,"Address: 2Nd Floor C-Block Madhav Mall Oppsite Ratanba School Thakkar Bapa Nagar-Ahmadabad, Ahmedabad, Gujarat, 382350","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakanksha Hospital,"Address: 126, Aradhna Nagar, Sabzi Market, Anand Mahal Road, Adajan, Surat, Gujarat, 395009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakar Hospital,"Address: Opposite Gayatri Temple Highway, Banaskantha, Deesa, Banas kantha, Gujarat, 385535","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakar Hospital,"Address: Virani School Chowk, Ramkrishna Nagar Main Road, Opposite Comisuner Hospital, Rajkot, Gujarat, 360002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Clinic,"Address: 2, Ratnam Apartment, Sampatrao Colony, Opp Neptune Towers, Productivity Road, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Eye Hospital,"Address: A 19-20, Suraksha Society Near B.Ed College1St Floor, Shivmarket, Opposite Bus Station, Visnagar, Mahesana, Gujarat, 384315","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Hospital,"Address: Nalagarh, Solan, Himachal Pradesh, NA","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Hospital,"Address: Rishi Nagar, Near Bus Stand, Hisar, Haryana, 125001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Hospital and Diagnostic,"Address: OppositeRadhaswami Satsang Bhawan, Pinjore Road, Solan, Himachal Pradesh, NA","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakash Hospital and Diagnostics,"Address: Opp Radha Swami Satsang Bhawan Rakh Ram Singh, Pinjore Road Nalagarh, Solan, Himachal Pradesh, 173205","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakriti Nursing Home,"Address: 5E-57, Bunglow Plot, B.K. Chowk, N.I.T, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aakshardeep Eye Hospital,"Address: A-405, Milenium Plaza, Opposite Swaminarayan Temple, Judges Banglow Road, Vastrapur, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aalap Clinic and Surgical Nursing Home,"Address: 11, Sundervan Society, Ashram Road, Opposite Vidhyapith, Usmanpura, Ahmedabad, Gujarat, 380014","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aalok Hospital,"Address: Ashram Road, Ahmedabad, Gujarat, 380009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aalok Orthocare Super Speciality Center,"Address: 8, Vidyavihar Colony, Ashram Road, Opposite Hotel Fortune Landmark, Usmanpura, Ahmedabad, Gujarat, 380013","Contact: Emergency Number: 9825107971, Ambulance Phone Number: 9426395786, Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aanchal Nursing Home,"Address: Near Gurudwara, Mahavir Nagar, New Purena, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aanvi Endoscopy And Surgery Centre,"Address: 1St Floor, 112-117, Maruti Plaza Complex, Mmodi Compound, Panchbatti, Bharuch, Gujarat, 392001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aapna Health Care Centre,"Address: Bettiah Road, Lauria, West Champaran, Bihar, 845453","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Aar Pee Hospital,"Address: 1276-P, Sector 28, Faridabad, Delhi- NCR, Faridabad, Haryana, 121004","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
