Name,Address,Contact
American School of Bombay,"SF 2, G-Block, Bandra Kurla Complex Road, Bandra East, Mumbai, Maharashtra, 400051, India",SS: +91 22 6772 7272 ES: +91 22 6131 3600
Stonehill International School,"Near the International Airport, No.259/333/334/335, Tarahunise Post, Jala Hobli, Bengaluru, Karnataka, 562157, India",+91 70 2666 6911
TIPS Coimbatore,"193 Sathy Road, S.S.Kulam P.O., Coimbatore, Tamil Nadu, 641107, India",+91 42 2236 6666
Aarth Universal School,"Block 148, Surat-Bhesan-Barbodhan Road, Malgama, Surat, Gujarat, 395005, India",+91 81 5592 2000
Aditya Birla World Academy,"Vastushilp Annexe, Gamadia Colony, J D Road, Tardeo, Mumbai, Maharashtra, 400034, India",+91 22 2352 8400
Aga Khan Academy Hyderabad,"Survey No 1/1 Hardware Park, Maheshwaram Mandal, Rangareddy District, Hyderabad, Telangana, 501510, India",+91 40 66291313
Ahmedabad International School,"Opp Rajpath Row Houses, Behind Kiran Motors, Judges Bungalow Road, Bodakdev, Ahmedabad, 380015, India",+91 79 2687 2459
Ajmera Global School,"Yogi Nagar, Eksar Road, Borivali West, Mumbai, Maharashtra, 400092, India",+91 22 32401053
Akal Academy Baru Sahib,"Via Rajgarh, Teh. Pachhad, Distt. Sirmore, Himachal Pradesh, 173101, India",+91 9816400538
Akshar Árbol International School - ECR Campus,"Bethel Nagar, North 9th Street, Injambakkam, Chennai, Tamil Nadu, 600115, India",+91 94449 73275
Al Fajr International School,"No. 7 & 8, II Main Road, Nehru Nagar, Perungudi, Chennai, 600 096, India",+91 044 455 72228
Al Qamar Academy,"14 Kalyani Nagar, Opp Journalist's Colony, Kottivakkam, Chennai, Tamil Nadu, 600041, India",+91 44 2451 1226
All Saints' College,"Nainital, Uttarakhand, 263002, India",+91 5942 235121
Alliance World School,"C-54/A, Sector-56, Noida, Uttar Pradesh, 201301, India",+91 12 0258 9073
aLphabet School,"178 St. Mary's Road, Alwarpet, Chennai, Tamil Nadu, 600018, India",+91 44 4211 2025
American Embassy School,"Chandragupta Marg, Chanakyapuri, New Delhi, Delhi, 110021, India",+91 11 2688 8854
American International School - Chennai,"100 Feet Road, Taramani, Chennai, 600113, India",+91 44 2254 9000
"Amity Global School, Gurgaon","Main Sector Road 4, Sector 46, Gurgaon, Harayana, 122002, India",+91 84 4848 1410
"Amity Global School, Noida","A Block, C Block, Sector 44, Noida, Uttar Pradesh, 201301, India",+91 12 0243 2959
Amity International School Saket,"M Block, Saket, New Delhi, Delhi, 110017, India",+91 11 29561606
Amrita International Vidyalayam,"Choodasandra, Huskur P.O., Bengaluru, Karnataka, 560099, India",+91 90 1920 2583
"Apeejay School International, South Delhi","Sheikh Sarai-Phase I, Panchsheel Park, New Delhi, Delhi, 110017, India",+91 11 26016935
APL Global School,"Survey No 104/8C3, Foundry Road, Okiiam Thoraiopakkam, Chennai, Tamil Nadu, 600097, India",+91 44 4282 3272
Ascend International School,"5 'F' Block, Opp. Govt. Colony, Bandra Kurla Complex (Bandra E), Mumbai, Maharashtra, 400051, India",+91 22 7122 2000
ASIS Chennai,"Parvathi Avenue Madanandapuram, Udhaya Nagar Main Road, Porur, Chennai, Tamil Nadu, 600116, India",+91 80 1213 7777
Bangalore International School,"Geddalahalli, Hennur Bagalur Road, Kothanur Post, Bengaluru, Karnataka, 560077, India",+91 80 2846 5060/2844 5852
BD Somani International School,"625 GD Somani Marg, Cuffe Parade, Mumbai, Maharashtra, 400005, India",+91 22 2216 1355
BGS International Academia School,"BGS Knowledge City, Nityanandha Nagar, K.Gollahalli, Bengaluru, Karnataka, 560074, India",+91 96 0626 3332
Billabong High International (Santa Cruz),"Ajivasan, Off. Juhu Tara Road, Opp. Lido Cinema, Next to SNDT College, Santa Cruz West, Mumbai, Maharashtra, 400049, India",+91 22 26613389
Billabong High International School (Thane),"Road no. 27, Shreenagar, Wagle Estate, Thane West, Thane, Maharashtra, 400604, India",+91 84960 60000
Bishop Cotton School,"Shimla, Himachal Pradesh, 171002, India",+91 17 7262 0880
"BLiSS Edify International School, Pune","38 Phase 1, Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra, 411057, India",+91 77 4185 0000
Bloomingdale International School,"Municipal Employee Colony, Main Road, Vijayawada, Andhra Pradesh, 520010, India",+91 7799787827
Bluebells School International,"Kailash (Opp) Lady Shriram College, New Delhi, Delhi, 110048, India",+91 011 29232963
Bodhi International School,"Shikargarh Enclave, Near Mini Market, Jodhpur, Rajasthan, 342015, India",+91 291 2970100-1
Bombay International School,"Gilbert Building, 2nd Cross Lane, Babulnath, Mumbai, Maharashtra, 400007, India",+91 22 2364 8206
Bright Start Fellowship International School,"Fellowship Society Campus, Near August Kranti Maidan, Gowalia Tank,, 400036, India",+91 22 23803388
British Oak Tree Nursery,"Site No-4 Mayfield Garden Sector 57, Opp Orchid Islands, Gurgaon, Haryana, India",+91 95 8294 8440
Buddhi School,"1&2 Dasarahalli Extension, HA Farm Post, (Next to Legacy Apartments), Opposite to Shoba Moonsto+, Bengaluru, Karnataka, 560024, India",+91 92420 20302
Bunts Sangha's S.M. Shetty International School & Jr. College,"Hiranandani Gardens, Powai, Mumbai, Maharashtra, 400076, India",+91 22 61327346
C P Goenka International School - Juhu,"Plot No 44, Gulmohar Cross Road No 1, JVPD, Vile Parle (West), Mumbai, Maharashtra, 400049, India",+91 93 2259 1709
"C P Goenka International School - Pune, Wagholi","Behind Hotel Mapple Adhwryou, Gate No. 1347/I, Ubale Nagar, Wagholi, Maharashtra, 412207, India",+91 20 2740 1292
Calcutta International School,"724 Anandapur, E M Bypass, Kolkata, West Bengal, 700107, India",+91 33 2443 2054
Caledonian International School,"Near Power Gym, Saili Road, Pathankot, Punjab, 145001, India",+91 98880 00189
Calorx Olive International School,"Besides Ahmedabad Dental College, Near Arjun Farm, Ranchodpura - Bhadaj Road, Ahmedabad, Gujarat, 380058, India",+91 90 9993 3804
Cambridge International School,"Choti Baradari, Phase II, Jalandhar, Punjab, 144001, India",+91 181 462 3955
Cambridge International School - Dasuya,"Hazipur Road, Dasuya, Hoshiarpur, Punjab, 144205, India",+91 1883 502108
Campion International School,"River Side Avenue, Shalbari, West Bengal, India",+91 99335 39999
Canadian International School,"Survey No 4 & 20, Manchenahalli, Yelahanka, Bengaluru, Karnataka, 560064, India",+91 80 4249 4444
Candor International School,"Koppa-harapanhalli Road, Hullahalli, Off, Bannerghatta Main Rd, near Electronic City, Bengaluru, Karnataka, 560105, India",+91 77 6029 9992
Chatrabhuj Narsee School,"Valley of Flower, Next to Gundecha Premiere Tower, off. Western Express Highway, Kandivali East, Mumbai, Maharashtra, 400101, India",+91 22 2886 6677
Chinmaya International Residential School,"Nallur Vayal Post, Siruvani Road, Coimbatore, Tamil Nadu, 641114, India",+91 422 261 3300/3303
Chinmaya International Vidyalaya,"P-125, Warangade, Maan, Taluka and Dist: Palghar, Boisar, Maharashtra, 401501, India",+91 73 7848 9121
